"year";"plot";"guilds";"intraguild.type";"metric";"value"
2019;8;"plants-herbivores";"nesting_larvae";"richness";31
2020;8;"plants-herbivores";"nesting_larvae";"richness";33
2019;9;"plants-herbivores";"nesting_larvae";"richness";35
2020;9;"plants-herbivores";"nesting_larvae";"richness";34
2019;1;"all";"nesting_larvae";"richness";42
2020;1;"all";"nesting_larvae";"richness";47
2019;2;"all";"nesting_larvae";"richness";37
2020;2;"all";"nesting_larvae";"richness";48
2019;3;"all";"nesting_larvae";"richness";38
2020;3;"all";"nesting_larvae";"richness";47
2019;4;"all";"nesting_larvae";"richness";34
2020;4;"all";"nesting_larvae";"richness";31
2019;5;"all";"nesting_larvae";"richness";35
2020;5;"all";"nesting_larvae";"richness";32
2019;6;"all";"nesting_larvae";"richness";37
2020;6;"all";"nesting_larvae";"richness";30
2019;7;"all";"nesting_larvae";"richness";48
2020;7;"all";"nesting_larvae";"richness";44
2019;8;"all";"nesting_larvae";"richness";51
2020;8;"all";"nesting_larvae";"richness";52
2019;9;"all";"nesting_larvae";"richness";45
2020;9;"all";"nesting_larvae";"richness";50
2019;1;"plants";"nesting_larvae_phenology";"richness";14
2020;1;"plants";"nesting_larvae_phenology";"richness";14
2019;2;"plants";"nesting_larvae_phenology";"richness";14
2020;2;"plants";"nesting_larvae_phenology";"richness";14
2019;3;"plants";"nesting_larvae_phenology";"richness";14
2020;3;"plants";"nesting_larvae_phenology";"richness";14
2019;4;"plants";"nesting_larvae_phenology";"richness";10
2020;4;"plants";"nesting_larvae_phenology";"richness";10
2019;5;"plants";"nesting_larvae_phenology";"richness";12
2020;5;"plants";"nesting_larvae_phenology";"richness";12
2019;6;"plants";"nesting_larvae_phenology";"richness";9
2020;6;"plants";"nesting_larvae_phenology";"richness";9
2019;7;"plants";"nesting_larvae_phenology";"richness";17
2020;7;"plants";"nesting_larvae_phenology";"richness";17
2019;8;"plants";"nesting_larvae_phenology";"richness";16
2020;8;"plants";"nesting_larvae_phenology";"richness";16
2019;9;"plants";"nesting_larvae_phenology";"richness";16
2020;9;"plants";"nesting_larvae_phenology";"richness";16
2019;1;"floral visitors";"nesting_larvae_phenology";"richness";10
2020;1;"floral visitors";"nesting_larvae_phenology";"richness";15
2019;2;"floral visitors";"nesting_larvae_phenology";"richness";8
2020;2;"floral visitors";"nesting_larvae_phenology";"richness";15
2019;3;"floral visitors";"nesting_larvae_phenology";"richness";9
2020;3;"floral visitors";"nesting_larvae_phenology";"richness";14
2019;4;"floral visitors";"nesting_larvae_phenology";"richness";9
2020;4;"floral visitors";"nesting_larvae_phenology";"richness";5
2019;5;"floral visitors";"nesting_larvae_phenology";"richness";7
2020;5;"floral visitors";"nesting_larvae_phenology";"richness";5
2019;6;"floral visitors";"nesting_larvae_phenology";"richness";9
2020;6;"floral visitors";"nesting_larvae_phenology";"richness";2
2019;7;"floral visitors";"nesting_larvae_phenology";"richness";17
2020;7;"floral visitors";"nesting_larvae_phenology";"richness";11
2019;8;"floral visitors";"nesting_larvae_phenology";"richness";20
2020;8;"floral visitors";"nesting_larvae_phenology";"richness";19
2019;9;"floral visitors";"nesting_larvae_phenology";"richness";10
2020;9;"floral visitors";"nesting_larvae_phenology";"richness";16
2019;1;"herbivores";"nesting_larvae_phenology";"richness";18
2020;1;"herbivores";"nesting_larvae_phenology";"richness";18
2019;2;"herbivores";"nesting_larvae_phenology";"richness";15
2020;2;"herbivores";"nesting_larvae_phenology";"richness";19
2019;3;"herbivores";"nesting_larvae_phenology";"richness";15
2020;3;"herbivores";"nesting_larvae_phenology";"richness";19
2019;4;"herbivores";"nesting_larvae_phenology";"richness";15
2020;4;"herbivores";"nesting_larvae_phenology";"richness";16
2019;5;"herbivores";"nesting_larvae_phenology";"richness";16
2020;5;"herbivores";"nesting_larvae_phenology";"richness";15
2019;6;"herbivores";"nesting_larvae_phenology";"richness";19
2020;6;"herbivores";"nesting_larvae_phenology";"richness";19
2019;7;"herbivores";"nesting_larvae_phenology";"richness";14
2020;7;"herbivores";"nesting_larvae_phenology";"richness";16
2019;8;"herbivores";"nesting_larvae_phenology";"richness";15
2020;8;"herbivores";"nesting_larvae_phenology";"richness";17
2019;9;"herbivores";"nesting_larvae_phenology";"richness";19
2020;9;"herbivores";"nesting_larvae_phenology";"richness";18
2019;1;"plants-floral visitors";"nesting_larvae_phenology";"richness";24
2020;1;"plants-floral visitors";"nesting_larvae_phenology";"richness";29
2019;2;"plants-floral visitors";"nesting_larvae_phenology";"richness";22
2020;2;"plants-floral visitors";"nesting_larvae_phenology";"richness";29
2019;3;"plants-floral visitors";"nesting_larvae_phenology";"richness";23
2020;3;"plants-floral visitors";"nesting_larvae_phenology";"richness";28
2019;4;"plants-floral visitors";"nesting_larvae_phenology";"richness";19
2020;4;"plants-floral visitors";"nesting_larvae_phenology";"richness";15
2019;5;"plants-floral visitors";"nesting_larvae_phenology";"richness";19
2020;5;"plants-floral visitors";"nesting_larvae_phenology";"richness";17
2019;6;"plants-floral visitors";"nesting_larvae_phenology";"richness";18
2020;6;"plants-floral visitors";"nesting_larvae_phenology";"richness";11
2019;7;"plants-floral visitors";"nesting_larvae_phenology";"richness";34
2020;7;"plants-floral visitors";"nesting_larvae_phenology";"richness";28
2019;8;"plants-floral visitors";"nesting_larvae_phenology";"richness";36
2020;8;"plants-floral visitors";"nesting_larvae_phenology";"richness";35
2019;9;"plants-floral visitors";"nesting_larvae_phenology";"richness";26
2020;9;"plants-floral visitors";"nesting_larvae_phenology";"richness";32
2019;1;"plants-herbivores";"nesting_larvae_phenology";"richness";32
2020;1;"plants-herbivores";"nesting_larvae_phenology";"richness";32
2019;2;"plants-herbivores";"nesting_larvae_phenology";"richness";29
2020;2;"plants-herbivores";"nesting_larvae_phenology";"richness";33
2019;3;"plants-herbivores";"nesting_larvae_phenology";"richness";29
2020;3;"plants-herbivores";"nesting_larvae_phenology";"richness";33
2019;4;"plants-herbivores";"nesting_larvae_phenology";"richness";25
2020;4;"plants-herbivores";"nesting_larvae_phenology";"richness";26
2019;5;"plants-herbivores";"nesting_larvae_phenology";"richness";28
2020;5;"plants-herbivores";"nesting_larvae_phenology";"richness";27
2019;6;"plants-herbivores";"nesting_larvae_phenology";"richness";28
2020;6;"plants-herbivores";"nesting_larvae_phenology";"richness";28
2019;7;"plants-herbivores";"nesting_larvae_phenology";"richness";31
2020;7;"plants-herbivores";"nesting_larvae_phenology";"richness";33
2019;8;"plants-herbivores";"nesting_larvae_phenology";"richness";31
2020;8;"plants-herbivores";"nesting_larvae_phenology";"richness";33
2019;9;"plants-herbivores";"nesting_larvae_phenology";"richness";35
2020;9;"plants-herbivores";"nesting_larvae_phenology";"richness";34
2019;1;"all";"nesting_larvae_phenology";"richness";42
2020;1;"all";"nesting_larvae_phenology";"richness";47
2019;2;"all";"nesting_larvae_phenology";"richness";37
2020;2;"all";"nesting_larvae_phenology";"richness";48
2019;3;"all";"nesting_larvae_phenology";"richness";38
2020;3;"all";"nesting_larvae_phenology";"richness";47
2019;4;"all";"nesting_larvae_phenology";"richness";34
2020;4;"all";"nesting_larvae_phenology";"richness";31
2019;5;"all";"nesting_larvae_phenology";"richness";35
2020;5;"all";"nesting_larvae_phenology";"richness";32
2019;6;"all";"nesting_larvae_phenology";"richness";37
2020;6;"all";"nesting_larvae_phenology";"richness";30
2019;7;"all";"nesting_larvae_phenology";"richness";48
2020;7;"all";"nesting_larvae_phenology";"richness";44
2019;8;"all";"nesting_larvae_phenology";"richness";51
2020;8;"all";"nesting_larvae_phenology";"richness";52
2019;9;"all";"nesting_larvae_phenology";"richness";45
2020;9;"all";"nesting_larvae_phenology";"richness";50
2019;1;"plants";"mean_field";"connectance";1
2020;1;"plants";"mean_field";"connectance";1
2019;2;"plants";"mean_field";"connectance";1
2020;2;"plants";"mean_field";"connectance";1
2019;3;"plants";"mean_field";"connectance";1
2020;3;"plants";"mean_field";"connectance";1
2019;4;"plants";"mean_field";"connectance";1
2020;4;"plants";"mean_field";"connectance";1
2019;5;"plants";"mean_field";"connectance";1
2020;5;"plants";"mean_field";"connectance";1
2019;6;"plants";"mean_field";"connectance";1
2020;6;"plants";"mean_field";"connectance";1
2019;7;"plants";"mean_field";"connectance";1
2020;7;"plants";"mean_field";"connectance";1
2019;8;"plants";"mean_field";"connectance";1
2020;8;"plants";"mean_field";"connectance";1
2019;9;"plants";"mean_field";"connectance";1
2020;9;"plants";"mean_field";"connectance";1
2019;1;"floral visitors";"mean_field";"connectance";1
2020;1;"floral visitors";"mean_field";"connectance";1
2019;2;"floral visitors";"mean_field";"connectance";1
2020;2;"floral visitors";"mean_field";"connectance";1
2019;3;"floral visitors";"mean_field";"connectance";1
2020;3;"floral visitors";"mean_field";"connectance";1
2019;4;"floral visitors";"mean_field";"connectance";1
2020;4;"floral visitors";"mean_field";"connectance";1
2019;5;"floral visitors";"mean_field";"connectance";1
2020;5;"floral visitors";"mean_field";"connectance";1
2019;6;"floral visitors";"mean_field";"connectance";1
2020;6;"floral visitors";"mean_field";"connectance";1
2019;7;"floral visitors";"mean_field";"connectance";1
2020;7;"floral visitors";"mean_field";"connectance";1
2019;8;"floral visitors";"mean_field";"connectance";1
2020;8;"floral visitors";"mean_field";"connectance";1
2019;9;"floral visitors";"mean_field";"connectance";1
2020;9;"floral visitors";"mean_field";"connectance";1
2019;1;"herbivores";"mean_field";"connectance";1
2020;1;"herbivores";"mean_field";"connectance";1
2019;2;"herbivores";"mean_field";"connectance";1
2020;2;"herbivores";"mean_field";"connectance";1
2019;3;"herbivores";"mean_field";"connectance";1
2020;3;"herbivores";"mean_field";"connectance";1
2019;4;"herbivores";"mean_field";"connectance";1
2020;4;"herbivores";"mean_field";"connectance";1
2019;5;"herbivores";"mean_field";"connectance";1
2020;5;"herbivores";"mean_field";"connectance";1
2019;6;"herbivores";"mean_field";"connectance";1
2020;6;"herbivores";"mean_field";"connectance";1
2019;7;"herbivores";"mean_field";"connectance";1
2020;7;"herbivores";"mean_field";"connectance";1
2019;8;"herbivores";"mean_field";"connectance";1
2020;8;"herbivores";"mean_field";"connectance";1
2019;9;"herbivores";"mean_field";"connectance";1
2020;9;"herbivores";"mean_field";"connectance";1
2019;1;"plants-floral visitors";"mean_field";"connectance";0,737777777777778
2020;1;"plants-floral visitors";"mean_field";"connectance";0,666182873730044
2019;2;"plants-floral visitors";"mean_field";"connectance";0,695652173913043
2020;2;"plants-floral visitors";"mean_field";"connectance";0,688693098384728
2019;3;"plants-floral visitors";"mean_field";"connectance";0,704387990762125
2020;3;"plants-floral visitors";"mean_field";"connectance";0,704180064308682
2019;4;"plants-floral visitors";"mean_field";"connectance";0,782771535580524
2020;4;"plants-floral visitors";"mean_field";"connectance";0,714285714285714
2019;5;"plants-floral visitors";"mean_field";"connectance";0,714285714285714
2020;5;"plants-floral visitors";"mean_field";"connectance";0,736625514403292
2019;6;"plants-floral visitors";"mean_field";"connectance";0,706766917293233
2020;6;"plants-floral visitors";"mean_field";"connectance";0,850467289719626
2019;7;"plants-floral visitors";"mean_field";"connectance";0,711111111111111
2020;7;"plants-floral visitors";"mean_field";"connectance";0,692789968652038
2019;8;"plants-floral visitors";"mean_field";"connectance";0,733739837398374
2020;8;"plants-floral visitors";"mean_field";"connectance";0,708636836628512
2019;9;"plants-floral visitors";"mean_field";"connectance";0,702898550724638
2020;9;"plants-floral visitors";"mean_field";"connectance";0,700251889168766
2019;1;"plants-herbivores";"mean_field";"connectance";0,640969162995595
2020;1;"plants-herbivores";"mean_field";"connectance";0,622030237580994
2019;2;"plants-herbivores";"mean_field";"connectance";0,634691195795007
2020;2;"plants-herbivores";"mean_field";"connectance";0,657082002129925
2019;3;"plants-herbivores";"mean_field";"connectance";0,64883401920439
2020;3;"plants-herbivores";"mean_field";"connectance";0,653082549634274
2019;4;"plants-herbivores";"mean_field";"connectance";0,683060109289617
2020;4;"plants-herbivores";"mean_field";"connectance";0,682119205298013
2019;5;"plants-herbivores";"mean_field";"connectance";0,652298850574713
2020;5;"plants-herbivores";"mean_field";"connectance";0,640791476407915
2019;6;"plants-herbivores";"mean_field";"connectance";0,705382436260623
2020;6;"plants-herbivores";"mean_field";"connectance";0,707736389684814
2019;7;"plants-herbivores";"mean_field";"connectance";0,652571428571429
2020;7;"plants-herbivores";"mean_field";"connectance";0,638696939782823
2019;8;"plants-herbivores";"mean_field";"connectance";0,672640382317802
2020;8;"plants-herbivores";"mean_field";"connectance";0,690052356020942
2019;9;"plants-herbivores";"mean_field";"connectance";0,665722379603399
2020;9;"plants-herbivores";"mean_field";"connectance";0,651663405088063
2019;1;"all";"mean_field";"connectance";0,61790017211704
2020;1;"all";"mean_field";"connectance";0,591261451726568
2019;2;"all";"mean_field";"connectance";0,587334014300306
2020;2;"all";"mean_field";"connectance";0,625
2019;3;"all";"mean_field";"connectance";0,602484472049689
2020;3;"all";"mean_field";"connectance";0,626898047722343
2019;4;"all";"mean_field";"connectance";0,675977653631285
2020;4;"all";"mean_field";"connectance";0,645021645021645
2019;5;"all";"mean_field";"connectance";0,615474794841735
2020;5;"all";"mean_field";"connectance";0,603174603174603
2019;6;"all";"mean_field";"connectance";0,679012345679012
2020;6;"all";"mean_field";"connectance";0,696132596685083
2019;7;"all";"mean_field";"connectance";0,620457604306864
2020;7;"all";"mean_field";"connectance";0,587371512481645
2019;8;"all";"mean_field";"connectance";0,657507987220447
2020;8;"all";"mean_field";"connectance";0,653012048192771
2019;9;"all";"mean_field";"connectance";0,617712177121771
2020;9;"all";"mean_field";"connectance";0,619230769230769
2019;1;"plants";"nesting_larvae";"connectance";0,418367346938776
2020;1;"plants";"nesting_larvae";"connectance";0,418367346938776
2019;2;"plants";"nesting_larvae";"connectance";0,607142857142857
2020;2;"plants";"nesting_larvae";"connectance";0,607142857142857
2019;3;"plants";"nesting_larvae";"connectance";0,591836734693878
2020;3;"plants";"nesting_larvae";"connectance";0,591836734693878
2019;4;"plants";"nesting_larvae";"connectance";0,57
2020;4;"plants";"nesting_larvae";"connectance";0,57
2019;5;"plants";"nesting_larvae";"connectance";0,486111111111111
2020;5;"plants";"nesting_larvae";"connectance";0,486111111111111
2019;6;"plants";"nesting_larvae";"connectance";0,530864197530864
2020;6;"plants";"nesting_larvae";"connectance";0,530864197530864
2019;7;"plants";"nesting_larvae";"connectance";0,823529411764706
2020;7;"plants";"nesting_larvae";"connectance";0,823529411764706
2019;8;"plants";"nesting_larvae";"connectance";0,8515625
2020;8;"plants";"nesting_larvae";"connectance";0,8515625
2019;9;"plants";"nesting_larvae";"connectance";0,62109375
2020;9;"plants";"nesting_larvae";"connectance";0,62109375
2019;1;"floral visitors";"nesting_larvae";"connectance";0,5
2020;1;"floral visitors";"nesting_larvae";"connectance";0,262222222222222
2019;2;"floral visitors";"nesting_larvae";"connectance";0,53125
2020;2;"floral visitors";"nesting_larvae";"connectance";0,297777777777778
2019;3;"floral visitors";"nesting_larvae";"connectance";0,45679012345679
2020;3;"floral visitors";"nesting_larvae";"connectance";0,326530612244898
2019;4;"floral visitors";"nesting_larvae";"connectance";0,506172839506173
2020;4;"floral visitors";"nesting_larvae";"connectance";0,44
2019;5;"floral visitors";"nesting_larvae";"connectance";0,551020408163265
2020;5;"floral visitors";"nesting_larvae";"connectance";0,36
2019;6;"floral visitors";"nesting_larvae";"connectance";0,407407407407407
2020;6;"floral visitors";"nesting_larvae";"connectance";0,5
2019;7;"floral visitors";"nesting_larvae";"connectance";0,384083044982699
2020;7;"floral visitors";"nesting_larvae";"connectance";0,272727272727273
2019;8;"floral visitors";"nesting_larvae";"connectance";0,33
2020;8;"floral visitors";"nesting_larvae";"connectance";0,340720221606648
2019;9;"floral visitors";"nesting_larvae";"connectance";0,54
2020;9;"floral visitors";"nesting_larvae";"connectance";0,28125
2019;1;"herbivores";"nesting_larvae";"connectance";0,62962962962963
2020;1;"herbivores";"nesting_larvae";"connectance";0,679012345679012
2019;2;"herbivores";"nesting_larvae";"connectance";0,644444444444444
2020;2;"herbivores";"nesting_larvae";"connectance";0,645429362880886
2019;3;"herbivores";"nesting_larvae";"connectance";0,671111111111111
2020;3;"herbivores";"nesting_larvae";"connectance";0,722991689750693
2019;4;"herbivores";"nesting_larvae";"connectance";0,662222222222222
2020;4;"herbivores";"nesting_larvae";"connectance";0,6875
2019;5;"herbivores";"nesting_larvae";"connectance";0,6328125
2020;5;"herbivores";"nesting_larvae";"connectance";0,688888888888889
2019;6;"herbivores";"nesting_larvae";"connectance";0,6398891966759
2020;6;"herbivores";"nesting_larvae";"connectance";0,695290858725762
2019;7;"herbivores";"nesting_larvae";"connectance";0,653061224489796
2020;7;"herbivores";"nesting_larvae";"connectance";0,625
2019;8;"herbivores";"nesting_larvae";"connectance";0,724444444444444
2020;8;"herbivores";"nesting_larvae";"connectance";0,695501730103806
2019;9;"herbivores";"nesting_larvae";"connectance";0,628808864265928
2020;9;"herbivores";"nesting_larvae";"connectance";0,62962962962963
2019;1;"plants-floral visitors";"nesting_larvae";"connectance";0,373333333333333
2020;1;"plants-floral visitors";"nesting_larvae";"connectance";0,259796806966618
2019;2;"plants-floral visitors";"nesting_larvae";"connectance";0,43719806763285
2020;2;"plants-floral visitors";"nesting_larvae";"connectance";0,343612334801762
2019;3;"plants-floral visitors";"nesting_larvae";"connectance";0,418013856812933
2020;3;"plants-floral visitors";"nesting_larvae";"connectance";0,363344051446945
2019;4;"plants-floral visitors";"nesting_larvae";"connectance";0,471910112359551
2020;4;"plants-floral visitors";"nesting_larvae";"connectance";0,412698412698413
2019;5;"plants-floral visitors";"nesting_larvae";"connectance";0,395348837209302
2020;5;"plants-floral visitors";"nesting_larvae";"connectance";0,366255144032922
2019;6;"plants-floral visitors";"nesting_larvae";"connectance";0,383458646616541
2020;6;"plants-floral visitors";"nesting_larvae";"connectance";0,476635514018692
2019;7;"plants-floral visitors";"nesting_larvae";"connectance";0,456666666666667
2020;7;"plants-floral visitors";"nesting_larvae";"connectance";0,474921630094044
2019;8;"plants-floral visitors";"nesting_larvae";"connectance";0,422764227642276
