"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"Tessellana_tessellata";0,0226432680817863;0,00429169285350013;0,0664495947313571;2019;1;"herbivores";"mean_field"
"Theba_pisana";0,00946662332768145;0,00178712073698114;0,0277720910209434;2019;1;"herbivores";"mean_field"
"BEMA";4,31198903972712e-05;6,68448424971059e-07;0,000156969767577818;2019;1;"plants-floral visitors";"mean_field"
"CETE";4,69070339112845e-06;2,81309771184116e-07;1,4936461387108e-05;2019;1;"plants-floral visitors";"mean_field"
"CHFU";0,0334492530158036;0,00552962689471015;0,0929899198667919;2019;1;"plants-floral visitors";"mean_field"
"CHMI";2,61986554752889e-05;1,88479575700853e-06;9,52822744105343e-05;2019;1;"plants-floral visitors";"mean_field"
"HOMA";0,186740330292345;0,0106959977074667;0,483504528782834;2019;1;"plants-floral visitors";"mean_field"
"LEMA";0,000350968836272996;6,14935405773317e-05;0,00102856475060143;2019;1;"plants-floral visitors";"mean_field"
"MESP";0,0789674740220449;0,0149082883672617;0,207706330763222;2019;1;"plants-floral visitors";"mean_field"
"PAIN";8,51713673919183e-06;1,09160631288502e-06;2,23192164938964e-05;2019;1;"plants-floral visitors";"mean_field"
"PLCO";0,000472779573442572;6,10966827776844e-07;0,00199402546609845;2019;1;"plants-floral visitors";"mean_field"
"POMA";6,61079162916304e-06;7,16653389016384e-07;1,78777773813385e-05;2019;1;"plants-floral visitors";"mean_field"
"PUPA";0,000385540042698797;3,84160667283739e-07;0,00149863550512431;2019;1;"plants-floral visitors";"mean_field"
"SASO";4,23949332032364e-05;1,15070248950045e-06;0,000134488387181049;2019;1;"plants-floral visitors";"mean_field"
"SCLA";8,32714803414887e-05;1,50443466899655e-06;0,000312464534586169;2019;1;"plants-floral visitors";"mean_field"
"SOAS";4,24048162839031e-05;5,8627369287876e-06;0,000116989132755577;2019;1;"plants-floral visitors";"mean_field"
"Andrena_cinerea";0,00175037792536514;0,000358314596367866;0,00470943074489998;2019;1;"plants-floral visitors";"mean_field"
"Colias_croceus";0,125471733045436;0,00922226615527904;0,370028567474535;2019;1;"plants-floral visitors";"mean_field"
"Dilophus_spp";0,201701250071622;0,0532015404509363;0,477802847570329;2019;1;"plants-floral visitors";"mean_field"
"Empis_tesellata";0,00223864391016584;0,000611698110718583;0,00573838949157485;2019;1;"plants-floral visitors";"mean_field"
"Eupeodes_corollae";0,0175146395503027;0,00127360333901904;0,0620462797642836;2019;1;"plants-floral visitors";"mean_field"
"Melanopangonius_spp";9,96100160775997e-07;2,74663230522234e-07;2,71536970349879e-06;2019;1;"plants-floral visitors";"mean_field"
"Musca_spp";1,67598059501396e-06;2,12886796048284e-07;5,02170656978262e-06;2019;1;"plants-floral visitors";"mean_field"
"Odontomyia_spp";0,0183543813243975;0,00309021286833125;0,052152964452085;2019;1;"plants-floral visitors";"mean_field"
"Scaeva_spp";0,000801310440045239;1,84448259350278e-05;0,00235605426085854;2019;1;"plants-floral visitors";"mean_field"
"Sphaerophoria_scripta";0,331541437461841;0,0146246561278894;0,707085972092378;2019;1;"plants-floral visitors";"mean_field"
"BEMA";0,000945378893512332;3,66625714669095e-05;0,00412737866600491;2019;1;"plants-herbivores";"mean_field"
"CETE";0,0179999441959823;0,00024525649643301;0,0975919406186084;2019;1;"plants-herbivores";"mean_field"
"CHFU";0,00112092724532375;4,37124831423356e-05;0,00500448353804014;2019;1;"plants-herbivores";"mean_field"
"CHMI";0,00547032716079886;0,000135851803785696;0,0291164673275036;2019;1;"plants-herbivores";"mean_field"
"HOMA";0,00251489367834824;9,30318312908145e-05;0,0117594402927177;2019;1;"plants-herbivores";"mean_field"
"LEMA";0,000130440712594119;3,55656984104583e-06;0,000608637497587622;2019;1;"plants-herbivores";"mean_field"
"MESP";0,000895642754918766;1,09216592450891e-05;0,00513702887314722;2019;1;"plants-herbivores";"mean_field"
"PAIN";0,0225025844242728;0,000562331458222917;0,100535873151727;2019;1;"plants-herbivores";"mean_field"
"PLCO";0,0075902788572298;6,47705360413237e-05;0,0450461211566102;2019;1;"plants-herbivores";"mean_field"
"POMA";0,0106611182903077;0,000178031750097829;0,0549276839589849;2019;1;"plants-herbivores";"mean_field"
"PUPA";0,00860371135643303;0,000102341421251371;0,0521645070074656;2019;1;"plants-herbivores";"mean_field"
"SASO";0,0104269276115063;0,000337317753920817;0,0495349084612007;2019;1;"plants-herbivores";"mean_field"
"SCLA";0,591994096847335;0,00159664373592688;0,980821340926618;2019;1;"plants-herbivores";"mean_field"
"SOAS";0,00286787244801398;9,97376313443761e-05;0,0136172658918216;2019;1;"plants-herbivores";"mean_field"
"Aelia_spp";0,00224675120585147;7,85801847871032e-05;0,0104013702281319;2019;1;"plants-herbivores";"mean_field"
"Aiolopus_strepens";0,00755496569765475;0,000126384591675269;0,0386525563978571;2019;1;"plants-herbivores";"mean_field"
"Anthaxia_semicuprea";0,00233269340009593;8,62808937781387e-05;0,0119390346453959;2019;1;"plants-herbivores";"mean_field"
"Aphis_fabae";0,00480322431881918;7,53119753978285e-05;0,0257745465365992;2019;1;"plants-herbivores";"mean_field"
"Brassicogethes_spp";0,00611802038104436;0,000219837251362222;0,0300778092677555;2019;1;"plants-herbivores";"mean_field"
"Cantharis_coronata";0,00880424090981272;0,000224386152978468;0,0462035718992261;2019;1;"plants-herbivores";"mean_field"
"Cochlicella_barbara";0,0120339593318857;0,000143375930830466;0,0670271530575189;2019;1;"plants-herbivores";"mean_field"
"Conocephalus_dorsalis";0,00129002411878687;4,319625984836e-05;0,00597781294314585;2019;1;"plants-herbivores";"mean_field"
"Dociostaurus_jagoi";0,0229670113970698;7,32015129854333e-05;0,149449187450951;2019;1;"plants-herbivores";"mean_field"
"Gryllus_bimaculatus";0,00605105928300861;0,000109288161686971;0,0306648143332617;2019;1;"plants-herbivores";"mean_field"
"Lasiocampa_trifolii_caterpillar";0,00376740091954239;6,8160787045433e-05;0,0212873669960255;2019;1;"plants-herbivores";"mean_field"
"Lepidoptera_caterpillar";0,00284679129662331;9,24103768189466e-05;0,0133976119188621;2019;1;"plants-herbivores";"mean_field"
"Malachius_bipustulatus";0,00398101436413909;0,000141038479962016;0,018725405617942;2019;1;"plants-herbivores";"mean_field"
"Mordellidae";0,00439347305043011;0,00013932119634622;0,0225505574033082;2019;1;"plants-herbivores";"mean_field"
"Oedemeridae";0,00672796725937203;0,000216178200068753;0,0331716578387305;2019;1;"plants-herbivores";"mean_field"
"Psilothrix_viridicoerulea";0,101013406142354;0,000110565456818187;0,546308183187752;2019;1;"plants-herbivores";"mean_field"
"Tessellana_tessellata";0,00930853793192016;0,00012993046766264;0,0557570892551902;2019;1;"plants-herbivores";"mean_field"
"Theba_pisana";0,110035314515012;0,000867405137786013;0,509596306161839;2019;1;"plants-herbivores";"mean_field"
"BEMA";0,0785074096170982;0,0625528597932487;0,0993758035051196;2019;1;"plants";"mean_field"
"CETE";0,063875531743821;0,0563267320707368;0,0724809455548898;2019;1;"plants";"mean_field"
"CHFU";0,0712561100267932;0,0613083702202119;0,0835756086441963;2019;1;"plants";"mean_field"
"CHMI";0,0746471427321749;0,0579287714393393;0,0983309726836598;2019;1;"plants";"mean_field"
"HOMA";0,0748318535197914;0,0600941933409471;0,0908841552211283;2019;1;"plants";"mean_field"
"LEMA";0,0715849069742573;0,060956072886516;0,0841698036153256;2019;1;"plants";"mean_field"
"MESP";0,062333576752511;0,0541013903233122;0,0712903359163971;2019;1;"plants";"mean_field"
"PAIN";0,0756985137266983;0,0626354295665011;0,0910497405553876;2019;1;"plants";"mean_field"
"PLCO";0,0819833006249875;0,06684771256765;0,0996083213151622;2019;1;"plants";"mean_field"
"POMA";0,0716624126007361;0,0621117362813193;0,0828231973440689;2019;1;"plants";"mean_field"
"PUPA";0,0643592516555006;0,0548027385637372;0,0752792535736834;2019;1;"plants";"mean_field"
"SASO";0,0650097486546356;0,0565276082309148;0,0750880996559976;2019;1;"plants";"mean_field"
"SCLA";0,0766655768040076;0,0610308258198307;0,0948127696578261;2019;1;"plants";"mean_field"
"SOAS";0,0675846645669872;0,0566644937064203;0,0814614152089863;2019;1;"plants";"mean_field"
"BEMA";0,014287448246015;0,00488709899999112;0,0280020317357589;2019;2;"all";"mean_field"
"CETE";0,0565627366782485;0,00243853816738283;0,164835271206016;2019;2;"all";"mean_field"
"CHFU";0,00956021414675093;0,00201914843527784;0,0211049224147235;2019;2;"all";"mean_field"
"CHMI";0,0274957855020675;0,00226879419546049;0,0794122378202713;2019;2;"all";"mean_field"
"HOMA";0,0547817573186543;0,0157816879708791;0,111995466894794;2019;2;"all";"mean_field"
"LEMA";0,00209548047574847;0,000520980386268348;0,0044654657964129;2019;2;"all";"mean_field"
"MESP";0,00583213396533633;0,002367541667853;0,0113572926273369;2019;2;"all";"mean_field"
"PAIN";0,0472215959580386;0,0160638630592391;0,0932290831305489;2019;2;"all";"mean_field"
"PLCO";0,0047209568910043;0,00158862614694568;0,0105027652187162;2019;2;"all";"mean_field"
"POMA";0,0388627890270457;0,00243324496519766;0,101414898260904;2019;2;"all";"mean_field"
"PUPA";0,00557757683596968;0,00268902181513206;0,0101812186864903;2019;2;"all";"mean_field"
"SASO";0,00375399180690868;0,00187116314485132;0,00638254086857738;2019;2;"all";"mean_field"
"SCLA";0,00769582279208462;0,00268130665505235;0,0152476880213429;2019;2;"all";"mean_field"
"SOAS";0,00929333480150083;0,00474854533516444;0,0158860073433017;2019;2;"all";"mean_field"
"Aelia_spp";0,0129762723629282;0,00444462172160901;0,0290685843041434;2019;2;"all";"mean_field"
"Aiolopus_strepens";0,00498367213463162;0,00261959909158604;0,00809257761199854;2019;2;"all";"mean_field"
"Aphis_fabae";0,0628938114410035;0,0267838742531741;0,114186743625663;2019;2;"all";"mean_field"
"Brassicogethes_spp";0,0103996239974238;0,00154104291318853;0,0260746172551194;2019;2;"all";"mean_field"
"Cantharis_coronata";0,0574753592015026;0,019085767882213;0,11202270805215;2019;2;"all";"mean_field"
"Cochlicella_barbara";0,0646480500114741;0,0156705908664202;0,148610101408198;2019;2;"all";"mean_field"
"Cryptocephalus_spp";0,003423166497011;0,0017437781939905;0,00554173791455839;2019;2;"all";"mean_field"
"Lasiocampa_trifolii_caterpillar";0,0565144083218456;0,00485305698918954;0,153791460196807;2019;2;"all";"mean_field"
"Malachius_bipustulatus";0,0214752279333342;0,00602199171259475;0,0481058560674796;2019;2;"all";"mean_field"
"Meligethes_spp";0,0150825193129277;0,00358199663128736;0,031097535284455;2019;2;"all";"mean_field"
"Mordellidae";0,00790492378190258;0,00302991033143867;0,0162048821554437;2019;2;"all";"mean_field"
"Nymphalidae_caterpillar";0,0135995932005461;0,00364773293614263;0,0327646427699294;2019;2;"all";"mean_field"
"Psilothrix_viridicoerulea";0,00149577506709222;0,000906221955015158;0,00233869863374064;2019;2;"all";"mean_field"
"Tessellana_tessellata";0,0321654642463497;0,0159004459849909;0,0557342984412319;2019;2;"all";"mean_field"
"Theba_pisana";0,0822219361788187;0,0112092804126871;0,205716273584264;2019;2;"all";"mean_field"
"Andrena_cinerea";0,00613153085467909;0,00103447648748985;0,0167999057760101;2019;2;"all";"mean_field"
"Calliphoridae";0,0257493000355337;0,00717793950388249;0,0519955114283905;2019;2;"all";"mean_field"
"Dilophus_spp";0,0354359055183289;0,0139273135572948;0,0646834364698908;2019;2;"all";"mean_field"
"Episyrphus_balteatus";0,0183987835747983;0,00627166510403693;0,0364496909214259;2019;2;"all";"mean_field"
"Eupeodes_corollae";0,0046900844222944;0,00197515756247144;0,0087948000058005;2019;2;"all";"mean_field"
"Lasioglossum_immunitum";0,00259797352980127;0,00108048956570203;0,00485440353500011;2019;2;"all";"mean_field"
"Musca_spp";0,16077402071668;0,0480909460988642;0,304198645040878;2019;2;"all";"mean_field"
"Nemotelus_spp";0,0112209732137188;0,00412505052223129;0,0217590814784213;2019;2;"all";"mean_field"
"Andrena_cinerea";0,124653742238571;0,123990089220539;0,125318990473361;2019;2;"floral visitors";"mean_field"
"Calliphoridae";0,124837491662133;0,124198958336017;0,125547356049991;2019;2;"floral visitors";"mean_field"
"Dilophus_spp";0,12532541140453;0,124633440690749;0,126062509737659;2019;2;"floral visitors";"mean_field"
"Episyrphus_balteatus";0,125321698360586;0,124608566078792;0,125991788978884;2019;2;"floral visitors";"mean_field"
"Eupeodes_corollae";0,125037154300612;0,124374689305333;0,125704575570447;2019;2;"floral visitors";"mean_field"
"Lasioglossum_immunitum";0,124881588337686;0,124194200420986;0,125547902112561;2019;2;"floral visitors";"mean_field"
"Musca_spp";0,12479430393394;0,124117199568326;0,12545344042153;2019;2;"floral visitors";"mean_field"
"Nemotelus_spp";0,125148609761942;0,124344331632484;0,125924880645068;2019;2;"floral visitors";"mean_field"
"Aelia_spp";0,0569510310126783;0,043570096780615;0,0718187313436381;2019;2;"herbivores";"mean_field"
"Aiolopus_strepens";0,0719319041063574;0,0460639942095613;0,105381233815922;2019;2;"herbivores";"mean_field"
"Aphis_fabae";0,0588507403350446;0,0455555433277422;0,0747835518657293;2019;2;"herbivores";"mean_field"
"Brassicogethes_spp";0,0572609813091207;0,0427544975705468;0,0733890928097085;2019;2;"herbivores";"mean_field"
"Cantharis_coronata";0,0603761485317161;0,046193356666304;0,0770127671657708;2019;2;"herbivores";"mean_field"
"Cochlicella_barbara";0,0645279918556974;0,0484442702044059;0,0844546121494345;2019;2;"herbivores";"mean_field"
"Cryptocephalus_spp";0,057505011680291;0,043848052549571;0,0733684664165281;2019;2;"herbivores";"mean_field"
"Lasiocampa_trifolii_caterpillar";0,0453670643015273;0,034454541850398;0,0570438946441653;2019;2;"herbivores";"mean_field"
"Malachius_bipustulatus";0,0514538129659024;0,0392010643987287;0,0664285719282261;2019;2;"herbivores";"mean_field"
"Meligethes_spp";0,116350012662573;0,0562009462733162;0,207345746255926;2019;2;"herbivores";"mean_field"
"Mordellidae";0,0709091003354141;0,0508577820478888;0,0977710343627505;2019;2;"herbivores";"mean_field"
"Nymphalidae_caterpillar";0,0883569615437292;0,044603703932375;0,156518067714953;2019;2;"herbivores";"mean_field"
"Psilothrix_viridicoerulea";0,0585020117649375;0,042614400265013;0,0783319694815195;2019;2;"herbivores";"mean_field"
"Tessellana_tessellata";0,0638373437429153;0,048415102693933;0,0842536858531566;2019;2;"herbivores";"mean_field"
"Theba_pisana";0,0778198838520954;0,0538370420179058;0,10777133563836;2019;2;"herbivores";"mean_field"
"BEMA";0,054546370650056;0,0442607426431327;0,0681697825328036;2019;2;"plants-floral visitors";"mean_field"
"CETE";0,0521387946247484;0,0451550778947416;0,0592639497971658;2019;2;"plants-floral visitors";"mean_field"
"CHFU";0,046678237125855;0,0404208700071336;0,0539028988976217;2019;2;"plants-floral visitors";"mean_field"
"CHMI";0,0594029178170569;0,0426029135674407;0,0865533827159975;2019;2;"plants-floral visitors";"mean_field"
"HOMA";0,0538587549128585;0,0461862754503674;0,0630302736553407;2019;2;"plants-floral visitors";"mean_field"
"LEMA";0,0149341980723391;0,0110521477069264;0,0203435072534967;2019;2;"plants-floral visitors";"mean_field"
"MESP";0,0104528459800572;0,00838519127017409;0,0132645534719084;2019;2;"plants-floral visitors";"mean_field"
"PAIN";0,0542184754308001;0,0445700209180467;0,0667505974020154;2019;2;"plants-floral visitors";"mean_field"
"PLCO";0,056495831529104;0,0454787740447206;0,0701450560104756;2019;2;"plants-floral visitors";"mean_field"
"POMA";0,0540891514341162;0,0451669616626495;0,0661334213819844;2019;2;"plants-floral visitors";"mean_field"
"PUPA";0,0454108072205436;0,0402699497639182;0,0509660059851252;2019;2;"plants-floral visitors";"mean_field"
"SASO";0,0566773724590008;0,0471826669404172;0,0684313198459318;2019;2;"plants-floral visitors";"mean_field"
"SCLA";0,0526284560464359;0,0453278463511868;0,0610214612572541;2019;2;"plants-floral visitors";"mean_field"
"SOAS";0,0457767107663529;0,0396237164491281;0,0531931041854907;2019;2;"plants-floral visitors";"mean_field"
"Andrena_cinerea";0,0408941560754226;0,0356915818049041;0,0474138699529254;2019;2;"plants-floral visitors";"mean_field"
"Calliphoridae";0,0217380173199902;0,0181888385273446;0,0259796676897912;2019;2;"plants-floral visitors";"mean_field"
"Dilophus_spp";0,0615548521025479;0,0540676725267904;0,0715072430896045;2019;2;"plants-floral visitors";"mean_field"
"Episyrphus_balteatus";0,020052783199154;0,0173976738272366;0,0229806028981769;2019;2;"plants-floral visitors";"mean_field"
"Eupeodes_corollae";0,0736143578602808;0,0660724224295361;0,0825388493322121;2019;2;"plants-floral visitors";"mean_field"
"Lasioglossum_immunitum";0,0164406869525011;0,0139070625587604;0,0194001404471672;2019;2;"plants-floral visitors";"mean_field"
"Musca_spp";0,0248871116324073;0,0218829988666913;0,0281272317815217;2019;2;"plants-floral visitors";"mean_field"
"Nemotelus_spp";0,0835091107883717;0,0732107769592874;0,095394064622289;2019;2;"plants-floral visitors";"mean_field"
"BEMA";0,00463570137259092;0,000208975651893022;0,0279702720657179;2019;2;"plants-herbivores";"mean_field"
"CETE";0,00167259950365441;7,86211020960117e-05;0,00966071411482934;2019;2;"plants-herbivores";"mean_field"
"CHFU";0,00437314267283372;0,000156306439491768;0,0284109622877053;2019;2;"plants-herbivores";"mean_field"
"CHMI";0,00538668450846233;0,000168570110733245;0,0341182460109265;2019;2;"plants-herbivores";"mean_field"
"HOMA";0,024437646313674;0,000151081181019851;0,201917855946422;2019;2;"plants-herbivores";"mean_field"
"LEMA";0,00143706392694799;3,23514425777647e-05;0,00919380051809937;2019;2;"plants-herbivores";"mean_field"
"MESP";0,000887095214838332;3,49710494756813e-05;0,00527800861012485;2019;2;"plants-herbivores";"mean_field"
"PAIN";0,631846611569485;0,00724118716964004;0,987411186219485;2019;2;"plants-herbivores";"mean_field"
"PLCO";0,0204641683650692;0,000199016801002951;0,15547660133841;2019;2;"plants-herbivores";"mean_field"
"POMA";0,00143958139681932;7,37899451299518e-05;0,00807545840984332;2019;2;"plants-herbivores";"mean_field"
"PUPA";0,00222645310168399;9,90340497493646e-05;0,0133292331386792;2019;2;"plants-herbivores";"mean_field"
"SASO";0,00547319436631922;0,000220462065901996;0,0347914414582866;2019;2;"plants-herbivores";"mean_field"
"SCLA";0,00400975787989495;0,000115632981301973;0,0265594557602935;2019;2;"plants-herbivores";"mean_field"
"SOAS";0,00862318964505308;0,000242598695713751;0,0566234661771428;2019;2;"plants-herbivores";"mean_field"
"Aelia_spp";0,00437844640512699;0,000123196739351748;0,0260738713029902;2019;2;"plants-herbivores";"mean_field"
"Aiolopus_strepens";0,00894866899052082;0,000313933879007948;0,0551988561521626;2019;2;"plants-herbivores";"mean_field"
"Aphis_fabae";0,00321773441527731;0,000112413511632535;0,0205890746711768;2019;2;"plants-herbivores";"mean_field"
"Brassicogethes_spp";0,0118358770518068;0,000369747484220741;0,0813406040649989;2019;2;"plants-herbivores";"mean_field"
"Cantharis_coronata";0,014782765009137;0,000603562012019202;0,092450826611636;2019;2;"plants-herbivores";"mean_field"
"Cochlicella_barbara";0,00542951801460937;0,00024463390008412;0,0316337290539903;2019;2;"plants-herbivores";"mean_field"
"Cryptocephalus_spp";0,00420075131037417;0,000154187265056272;0,0260094672284562;2019;2;"plants-herbivores";"mean_field"
"Lasiocampa_trifolii_caterpillar";0,0230112847598802;0,000553293078984641;0,143784902872144;2019;2;"plants-herbivores";"mean_field"
"Malachius_bipustulatus";0,00311333957797647;0,000107640231864716;0,0203035728270628;2019;2;"plants-herbivores";"mean_field"
"Meligethes_spp";0,00742190206831072;0,000248998004113875;0,0458634340203222;2019;2;"plants-herbivores";"mean_field"
"Mordellidae";0,175416350503885;0,000297807924391114;0,793007242400095;2019;2;"plants-herbivores";"mean_field"
"Nymphalidae_caterpillar";0,00675744079040915;0,000233990033592619;0,0421432956558277;2019;2;"plants-herbivores";"mean_field"
"Psilothrix_viridicoerulea";0,00147869621715665;6,54238050477824e-05;0,00871757918452041;2019;2;"plants-herbivores";"mean_field"
"Tessellana_tessellata";0,00842969086347525;0,000368304237742197;0,0499104482711402;2019;2;"plants-herbivores";"mean_field"
"Theba_pisana";0,00466464418472701;0,000225980128172383;0,0263968203454286;2019;2;"plants-herbivores";"mean_field"
