"species";"min_R";"max_R";"year";"plot";"guilds";"intraguild.type";"sp.guild";"guild.num"
"SOAS";0,0193517916227259;0,527530249046479;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"BEMA";0,201216785310479;0,428461245999151;"2019";2;"Plants";"Mean field";"Plants";"one"
"CETE";0,20221478988171;0,410603600741017;"2019";2;"Plants";"Mean field";"Plants";"one"
"CHFU";0,20171419079797;0,422201048737954;"2019";2;"Plants";"Mean field";"Plants";"one"
"CHMI";0,202741584944742;0,420513116853647;"2019";2;"Plants";"Mean field";"Plants";"one"
"HOMA";0,202533625962794;0,400308738103998;"2019";2;"Plants";"Mean field";"Plants";"one"
"LEMA";0,202552372219003;0,398617289890711;"2019";2;"Plants";"Mean field";"Plants";"one"
"MESP";0,199363524291751;0,411062494342079;"2019";2;"Plants";"Mean field";"Plants";"one"
"PAIN";0,200760203079263;0,416094622555087;"2019";2;"Plants";"Mean field";"Plants";"one"
"PLCO";0,202732341261441;0,407935240154938;"2019";2;"Plants";"Mean field";"Plants";"one"
"POMA";0,201535640319048;0,425676910950634;"2019";2;"Plants";"Mean field";"Plants";"one"
"PUPA";0,202059527977008;0,388105607205625;"2019";2;"Plants";"Mean field";"Plants";"one"
"SASO";0,202585099399718;0,396595523376315;"2019";2;"Plants";"Mean field";"Plants";"one"
"SCLA";0,201641221376974;0,407297330136224;"2019";2;"Plants";"Mean field";"Plants";"one"
"SOAS";0,202150938924012;0,402710125250875;"2019";2;"Plants";"Mean field";"Plants";"one"
"BEMA";0,038134044396979;0,469653399206572;"2019";2;"Plants";"Resources";"Plants";"one"
"CETE";0,0726631836655629;0,427925042504903;"2019";2;"Plants";"Resources";"Plants";"one"
"CHFU";0,0481654689514193;0,569834158638157;"2019";2;"Plants";"Resources";"Plants";"one"
"CHMI";0,0186769993572287;0,54120039531658;"2019";2;"Plants";"Resources";"Plants";"one"
"HOMA";0,00521072815002722;0,247038210606992;"2019";2;"Plants";"Resources";"Plants";"one"
"LEMA";0,0464536748760673;0,339572790371708;"2019";2;"Plants";"Resources";"Plants";"one"
"MESP";0,0123460613116763;0,478339995629594;"2019";2;"Plants";"Resources";"Plants";"one"
"PAIN";0,00960375184371363;0,473813596713942;"2019";2;"Plants";"Resources";"Plants";"one"
"PLCO";0,0912772503903444;0,610003617545379;"2019";2;"Plants";"Resources";"Plants";"one"
"POMA";0,00408286242787202;0,557834577087668;"2019";2;"Plants";"Resources";"Plants";"one"
"PUPA";0,114128263816641;0,684768942377968;"2019";2;"Plants";"Resources";"Plants";"one"
"SASO";0,0177501800511065;0,47281764517343;"2019";2;"Plants";"Resources";"Plants";"one"
"SCLA";0,043667584668711;0,561880864793645;"2019";2;"Plants";"Resources";"Plants";"one"
"SOAS";0,103220661361238;0,682679898150265;"2019";2;"Plants";"Resources";"Plants";"one"
"BEMA";0,037664780431572;0,594731417082328;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,0472039675161728;0,503121533233014;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,0120919603535215;0,50811257337427;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"CHMI";0,00895631746374653;0,607316510182255;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,00522457837723089;0,288173604355189;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,0442642669726478;0,425568539800694;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,00787440972754996;0,565107907797982;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,00777280572128766;0,580287046931872;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,0762255916305596;0,660417014173551;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"POMA";0,00378642053686407;0,625702169087952;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"PUPA";0,096536942326846;0,65780384860383;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"SASO";0,0194422221942092;0,541305214487856;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"SCLA";0,0355368671355046;0,618666563439868;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"SOAS";0,0377335929640947;0,552258404231664;"2019";2;"Plants";"Resources and 
phenology";"Plants";"one"
"BEMA";0,201724546893094;0,397283761412881;"2020";2;"Plants";"Mean field";"Plants";"one"
"CETE";0,201443991633368;0,399475958748364;"2020";2;"Plants";"Mean field";"Plants";"one"
"CHFU";0,201797527282477;0,400680268362039;"2020";2;"Plants";"Mean field";"Plants";"one"
"CHMI";0,202128868946496;0,393582524242618;"2020";2;"Plants";"Mean field";"Plants";"one"
"HOMA";0,202046559900406;0,457907693010613;"2020";2;"Plants";"Mean field";"Plants";"one"
"LEMA";0,202660116926718;0,408643383169576;"2020";2;"Plants";"Mean field";"Plants";"one"
"MESP";0,201893803243533;0,404404524647477;"2020";2;"Plants";"Mean field";"Plants";"one"
"PAIN";0,202276391182037;0,405869275178553;"2020";2;"Plants";"Mean field";"Plants";"one"
"PLCO";0,20228294899009;0,420914734689684;"2020";2;"Plants";"Mean field";"Plants";"one"
"POMA";0,200938280354135;0,411527872843856;"2020";2;"Plants";"Mean field";"Plants";"one"
"PUPA";0,202227251270006;0,406720452801215;"2020";2;"Plants";"Mean field";"Plants";"one"
"SASO";0,202430577210555;0,393399626581638;"2020";2;"Plants";"Mean field";"Plants";"one"
"SCLA";0,202120090268356;0,399210285781597;"2020";2;"Plants";"Mean field";"Plants";"one"
"SOAS";0,201095968121854;0,415368853041099;"2020";2;"Plants";"Mean field";"Plants";"one"
"BEMA";0,0375957684986184;0,550633870989149;"2020";2;"Plants";"Resources";"Plants";"one"
"CETE";0,0503692590281293;0,42603256271726;"2020";2;"Plants";"Resources";"Plants";"one"
"CHFU";0,0559752086515811;0,519640873447651;"2020";2;"Plants";"Resources";"Plants";"one"
"CHMI";0,024146242088411;0,527630632865187;"2020";2;"Plants";"Resources";"Plants";"one"
"HOMA";0,0063571200277756;0,233125355382792;"2020";2;"Plants";"Resources";"Plants";"one"
"LEMA";0,0393602363102288;0,355615802912831;"2020";2;"Plants";"Resources";"Plants";"one"
"MESP";0,00901062123875374;0,47794448805728;"2020";2;"Plants";"Resources";"Plants";"one"
"PAIN";0,00794561921293197;0,513565844073058;"2020";2;"Plants";"Resources";"Plants";"one"
"PLCO";0,0753116971236248;0,593945914606706;"2020";2;"Plants";"Resources";"Plants";"one"
"POMA";0,00329783842961835;0,599316033973868;"2020";2;"Plants";"Resources";"Plants";"one"
"PUPA";0,113432997576636;0,618770082831569;"2020";2;"Plants";"Resources";"Plants";"one"
"SASO";0,0155706505003252;0,460494628190334;"2020";2;"Plants";"Resources";"Plants";"one"
"SCLA";0,0450397299772671;0,571751773102837;"2020";2;"Plants";"Resources";"Plants";"one"
"SOAS";0,108374261931744;0,69937220979099;"2020";2;"Plants";"Resources";"Plants";"one"
"BEMA";0,0398145685966221;0,584790688423289;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,0268872769109591;0,525293094553896;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,0171871881462768;0,614035432859788;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"CHMI";0,0186388855867863;0,552742474234476;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,00648452499957874;0,291563696234609;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,0444533972689094;0,407636440752726;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,00836905052675397;0,583149780154443;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,00677688260551253;0,583469788989765;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,0775735882921666;0,619878828097393;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"POMA";0,0021833679053503;0,585476370340335;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"PUPA";0,104397520771017;0,632445079720806;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"SASO";0,0128703098201674;0,557417515181923;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"SCLA";0,0447747275558845;0,618521181246979;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"SOAS";0,0330948592822271;0,584890776148804;"2020";2;"Plants";"Resources and 
phenology";"Plants";"one"
"BEMA";0,20233819838926;0,391300838213225;"2019";3;"Plants";"Mean field";"Plants";"one"
"CETE";0,2018093161388;0,396376375404716;"2019";3;"Plants";"Mean field";"Plants";"one"
"CHFU";0,201090880825528;0,481239408978138;"2019";3;"Plants";"Mean field";"Plants";"one"
"CHMI";0,201679153480597;0,411325873547557;"2019";3;"Plants";"Mean field";"Plants";"one"
"HOMA";0,198024646060391;0,404431120245863;"2019";3;"Plants";"Mean field";"Plants";"one"
"LEMA";0,201464268523864;0,406931544167209;"2019";3;"Plants";"Mean field";"Plants";"one"
"MESP";0,201827486658018;0,402635481333503;"2019";3;"Plants";"Mean field";"Plants";"one"
"PAIN";0,201620220311122;0,427608721200365;"2019";3;"Plants";"Mean field";"Plants";"one"
"PLCO";0,202165618468413;0,419630950952705;"2019";3;"Plants";"Mean field";"Plants";"one"
"POMA";0,199987707033991;0,420993475371376;"2019";3;"Plants";"Mean field";"Plants";"one"
"PUPA";0,202412683320995;0,408224020304827;"2019";3;"Plants";"Mean field";"Plants";"one"
"SASO";0,202801664347437;0,424208670762229;"2019";3;"Plants";"Mean field";"Plants";"one"
"SCLA";0,202386554795673;0,420479572200781;"2019";3;"Plants";"Mean field";"Plants";"one"
"SOAS";0,202628686554269;0,406965542886902;"2019";3;"Plants";"Mean field";"Plants";"one"
"BEMA";0,0803762521293922;0,557075731612076;"2019";3;"Plants";"Resources";"Plants";"one"
"CETE";0,0497355617215758;0,51400543351579;"2019";3;"Plants";"Resources";"Plants";"one"
"CHFU";0,00529976182520568;0,499566549911924;"2019";3;"Plants";"Resources";"Plants";"one"
"CHMI";0,0345287788591243;0,55522880349735;"2019";3;"Plants";"Resources";"Plants";"one"
"HOMA";0,00644787393188478;0,2162550166896;"2019";3;"Plants";"Resources";"Plants";"one"
"LEMA";0,00547886506100949;0,39837596380731;"2019";3;"Plants";"Resources";"Plants";"one"
"MESP";0,000876346503415135;0,539275629569377;"2019";3;"Plants";"Resources";"Plants";"one"
"PAIN";0,00710324206665013;0,53572608269165;"2019";3;"Plants";"Resources";"Plants";"one"
"PLCO";0,0345166152440325;0,709387426241653;"2019";3;"Plants";"Resources";"Plants";"one"
"POMA";0,00557800490652838;0,433406908280806;"2019";3;"Plants";"Resources";"Plants";"one"
"PUPA";0,0661285924796034;0,576111119045719;"2019";3;"Plants";"Resources";"Plants";"one"
"SASO";0,0177761154337217;0,69031460331065;"2019";3;"Plants";"Resources";"Plants";"one"
"SCLA";0,0869279423637082;0,566340584373757;"2019";3;"Plants";"Resources";"Plants";"one"
"SOAS";0,034929939350881;0,530352576226565;"2019";3;"Plants";"Resources";"Plants";"one"
"BEMA";0,0630513062628478;0,586514073145573;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,0192939828238187;0,546567326403897;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,00202469880513971;0,504801302797404;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"CHMI";0,0415667892714882;0,592414819395047;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,00589566743306297;0,250272726994602;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,00465367653358181;0,4555420482334;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,00123524510285;0,555584066293381;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,00493203239698022;0,524879613512185;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,0702604858026374;0,755951146173551;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"POMA";0,00436762710223067;0,489859103469312;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"PUPA";0,019266691210863;0,579467100584719;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"SASO";0,0154276067071831;0,689432885576296;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"SCLA";0,0790036748622638;0,641248234980203;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"SOAS";0,00901111218829553;0,542554006379268;"2019";3;"Plants";"Resources and 
phenology";"Plants";"one"
"BEMA";0,202254246033768;0,420651880892236;"2020";3;"Plants";"Mean field";"Plants";"one"
"CETE";0,202107080577338;0,409215692817482;"2020";3;"Plants";"Mean field";"Plants";"one"
"CHFU";0,201915950566245;0,408537947705865;"2020";3;"Plants";"Mean field";"Plants";"one"
"CHMI";0,202244416531704;0,421372636195425;"2020";3;"Plants";"Mean field";"Plants";"one"
"HOMA";0,200523972247758;0,422747436628824;"2020";3;"Plants";"Mean field";"Plants";"one"
"LEMA";0,201417431802202;0,423979921118269;"2020";3;"Plants";"Mean field";"Plants";"one"
"MESP";0,201374370472459;0,411955592638265;"2020";3;"Plants";"Mean field";"Plants";"one"
"PAIN";0,200854327130696;0,435488634417429;"2020";3;"Plants";"Mean field";"Plants";"one"
"PLCO";0,201952249109822;0,403381285114913;"2020";3;"Plants";"Mean field";"Plants";"one"
"POMA";0,202451860731882;0,409524579269611;"2020";3;"Plants";"Mean field";"Plants";"one"
"PUPA";0,202829267314079;0,428965665716804;"2020";3;"Plants";"Mean field";"Plants";"one"
"SASO";0,201826723456622;0,40485925664273;"2020";3;"Plants";"Mean field";"Plants";"one"
"SCLA";0,202184606286166;0,415758722550842;"2020";3;"Plants";"Mean field";"Plants";"one"
"SOAS";0,201084218150131;0,400268673138171;"2020";3;"Plants";"Mean field";"Plants";"one"
"BEMA";0,071305857874011;0,588064646784737;"2020";3;"Plants";"Resources";"Plants";"one"
"CETE";0,0580942178986161;0,54810856267844;"2020";3;"Plants";"Resources";"Plants";"one"
"CHFU";0,00523929185395099;0,620498749787115;"2020";3;"Plants";"Resources";"Plants";"one"
"CHMI";0,0451015432219769;0,537921365996021;"2020";3;"Plants";"Resources";"Plants";"one"
"HOMA";0,00646266947897127;0,216854863500625;"2020";3;"Plants";"Resources";"Plants";"one"
"LEMA";0,00404784522507466;0,430609700626408;"2020";3;"Plants";"Resources";"Plants";"one"
"MESP";0,000383644427173575;0,526858907072386;"2020";3;"Plants";"Resources";"Plants";"one"
"PAIN";0,00742185946654015;0,567256069812775;"2020";3;"Plants";"Resources";"Plants";"one"
"PLCO";0,0554680070446974;0,723241136033214;"2020";3;"Plants";"Resources";"Plants";"one"
"POMA";0,00216237910942714;0,491460510810033;"2020";3;"Plants";"Resources";"Plants";"one"
"PUPA";0,0795146185447691;0,567001505390394;"2020";3;"Plants";"Resources";"Plants";"one"
"SASO";0,00580856810099069;0,686320428271714;"2020";3;"Plants";"Resources";"Plants";"one"
"SCLA";0,0917291160005651;0,584516186588359;"2020";3;"Plants";"Resources";"Plants";"one"
"SOAS";0,0338081041796516;0,55879137269322;"2020";3;"Plants";"Resources";"Plants";"one"
"BEMA";0,0583870904482123;0,634108013796734;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,0220953211271723;0,521771116547773;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,00225877296432638;0,536473374059213;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"CHMI";0,0239760480673393;0,572486519520215;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,00590235582547608;0,246571775269569;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,0038114190651499;0,45076802089085;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,000537945084613749;0,55466895782564;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,00282432904011593;0,611620813980765;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,0205076787840904;0,736545162048359;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"POMA";0,00218597583362747;0,491139052456125;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"PUPA";0,0146988659748685;0,590505048864163;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"SASO";0,0174428308605228;0,774060628157798;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"SCLA";0,0657074827090621;0,719050036195266;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"SOAS";0,0116433073847551;0,526979506655169;"2020";3;"Plants";"Resources and 
phenology";"Plants";"one"
"BEMA";0,213565925895142;0,554321731773917;"2019";4;"Plants";"Mean field";"Plants";"one"
"CETE";0,212116697467669;0,526600813324752;"2019";4;"Plants";"Mean field";"Plants";"one"
"CHFU";0,212603165091436;0,548927604037554;"2019";4;"Plants";"Mean field";"Plants";"one"
"HOMA";0,209825078330926;0,565205418514291;"2019";4;"Plants";"Mean field";"Plants";"one"
"LEMA";0,2137563112334;0,560710386236989;"2019";4;"Plants";"Mean field";"Plants";"one"
"MESP";0,214443626846507;0,548367091254236;"2019";4;"Plants";"Mean field";"Plants";"one"
"PAIN";0,213302674432308;0,566204153225128;"2019";4;"Plants";"Mean field";"Plants";"one"
"PLCO";0,206583177042344;0,517965904436899;"2019";4;"Plants";"Mean field";"Plants";"one"
"POMA";0,212293945399954;0,596211149005084;"2019";4;"Plants";"Mean field";"Plants";"one"
"SASO";0,212837859226819;0,664653977909581;"2019";4;"Plants";"Mean field";"Plants";"one"
"BEMA";0,0161744118636238;0,804606912492992;"2019";4;"Plants";"Resources";"Plants";"one"
"CETE";0,000284453725490794;0,777747997856013;"2019";4;"Plants";"Resources";"Plants";"one"
"CHFU";0,0138909805155298;0,803798916370477;"2019";4;"Plants";"Resources";"Plants";"one"
"HOMA";0,00956055473247557;0,282398564794398;"2019";4;"Plants";"Resources";"Plants";"one"
"LEMA";0,0331942665052372;0,740504332216235;"2019";4;"Plants";"Resources";"Plants";"one"
"MESP";0,000509079635699412;0,787599760383479;"2019";4;"Plants";"Resources";"Plants";"one"
"PAIN";0,00724148228811501;0,795429356308886;"2019";4;"Plants";"Resources";"Plants";"one"
"PLCO";0,0147103999001184;0,807267903264492;"2019";4;"Plants";"Resources";"Plants";"one"
"POMA";0,00335563297749369;0,78659213682173;"2019";4;"Plants";"Resources";"Plants";"one"
"SASO";0,00056112932565099;0,70606926374922;"2019";4;"Plants";"Resources";"Plants";"one"
"BEMA";0,0118954389524248;0,745565299811674;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,000281494962024738;0,840047922483307;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,00929569661668963;0,735191311939466;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,0110489307185076;0,32696924901294;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,0230236288464581;0,75485577341951;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,000146138149941133;0,821016443023853;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,00393066326134532;0,757020301778305;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,00764488177691805;0,727568793101553;"2019";4;"Plants";"Resources and 
phenology";"Plants";"one"
